originalFile,publicId,slug,name,rarity,primaryType,secondaryType,imagePath,description,visualTags,reviewStatus
_legendary_photoset/79299248466__A2456919-7C1B-4A96-B268-E2C782FCE69B.JPG,L0001,the-ultimate-boba-menace,The Ultimate Boba Menace,LEGENDARY,NEUTRAL,,lions/legendary/the-ultimate-boba-menace.jpg,The Ultimate Boba Menace brings suspiciously strong night market energy to the LionDen collection.,"event, lion-dance, shadow, dark, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0017.JPG,L0002,the-cosmic-van-captain,The Cosmic Van Captain,LEGENDARY,NEUTRAL,,lions/legendary/the-cosmic-van-captain.jpg,The Cosmic Van Captain brings suspiciously strong team-life energy to the LionDen collection.,"lunar-new-year, indoor, neon, group, lion-dance, neutral, balanced-light, marked-legendary",REVIEWED
_legendary_photoset/IMG_0414.JPG,L0003,the-legendary-sidequest-menace,The Legendary Sidequest Menace,LEGENDARY,NEUTRAL,,lions/legendary/the-legendary-sidequest-menace.jpg,The Legendary Sidequest Menace brings suspiciously strong team-life energy to the LionDen collection.,"event, lion-dance, fire, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0460.JPG,L0004,the-immortal-hangout-boss,The Immortal Hangout Boss,LEGENDARY,NATURE,,lions/legendary/the-immortal-hangout-boss.jpg,The Immortal Hangout Boss brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, fire, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0462.JPG,L0005,the-grand-glowstick-menace,The Grand Glowstick Menace,LEGENDARY,NATURE,WATER,lions/legendary/the-grand-glowstick-menace.jpg,The Grand Glowstick Menace brings suspiciously strong night market energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, shadow, dark, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0463.JPG,L0006,the-ultimate-carpool-captain,The Ultimate Carpool Captain,LEGENDARY,NATURE,,lions/legendary/the-ultimate-carpool-captain.jpg,The Ultimate Carpool Captain brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, neutral, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0466.JPG,L0007,the-cosmic-road-trip-menace,The Cosmic Road Trip Menace,LEGENDARY,NATURE,,lions/legendary/the-cosmic-road-trip-menace.jpg,The Cosmic Road Trip Menace brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, fire, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0474.JPG,L0008,the-legendary-van-boss,The Legendary Van Boss,LEGENDARY,NATURE,,lions/legendary/the-legendary-van-boss.jpg,The Legendary Van Boss brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, neutral, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0485.JPG,L0009,the-immortal-sidequest-manager,The Immortal Sidequest Manager,LEGENDARY,NATURE,WATER,lions/legendary/the-immortal-sidequest-manager.jpg,The Immortal Sidequest Manager brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, fire, balanced-light, marked-legendary",NEEDS_REVIEW
_legendary_photoset/IMG_0489.JPG,L0010,the-grand-hangout-captain,The Grand Hangout Captain,LEGENDARY,NATURE,,lions/legendary/the-grand-hangout-captain.jpg,The Grand Hangout Captain brings suspiciously strong team-life energy to the LionDen collection.,"team, portrait, casual, behind-the-scenes, neutral, balanced-light, marked-legendary",NEEDS_REVIEW
